distance,anomaly
0,-51.57
10,-52.99
20,-54.46
30,-55.99
40,-57.59
50,-59.25
60,-60.99
70,-62.79
80,-64.68
90,-66.65
100,-68.70
110,-70.85
120,-73.09
130,-75.44
140,-77.89
150,-80.46
160,-83.15
170,-85.97
180,-88.92
190,-92.02
200,-95.27
210,-98.68
220,-102.26
230,-106.03
240,-109.99
250,-114.15
260,-118.52
270,-123.13
280,-127.97
290,-133.07
300,-138.44
310,-144.10
320,-150.05
330,-156.31
340,-162.89
350,-169.81
360,-177.08
370,-184.71
380,-192.69
390,-201.04
400,-209.74
410,-218.79
420,-228.14
430,-237.75
440,-247.56
450,-257.47
460,-267.35
470,-277.00
480,-286.18
490,-294.54
500,-301.61
510,-306.78
520,-309.19
530,-307.71
540,-300.82
550,-286.41
560,-261.60
570,-222.39
580,-163.17
590,-75.92
600,50.83
610,233.51
620,494.96
630,863.93
640,1366.48
650,1997.51
660,2672.40
670,3215.68
680,3447.37
690,3287.49
700,2791.22
710,2125.87
720,1476.95
730,948.04
740,555.46
750,276.03
760,80.44
770,-55.43
780,-149.13
790,-212.95
800,-255.44
810,-282.62
820,-298.75
830,-306.88
840,-309.25
850,-307.47
860,-302.76
870,-295.99
880,-287.83
890,-278.78
900,-269.20
910,-259.34
920,-249.43
930,-239.59
940,-229.93
950,-220.53
960,-211.43
970,-202.66
980,-194.24
990,-186.19
1000,-178.49
1010,-171.16
1020,-164.17
1030,-157.52
1040,-151.20
1050,-145.20
1060,-139.49
1070,-134.07
1080,-128.92
1090,-124.02
1100,-119.38
1110,-114.96
1120,-110.76
1130,-106.76
1140,-102.96
1150,-99.34
1160,-95.90
1170,-92.62
1180,-89.49
1190,-86.51
1200,-83.67
1210,-80.96
1220,-78.36
1230,-75.89
1240,-73.53
1250,-71.26
1260,-69.10
1270,-67.03
1280,-65.05
1290,-63.15
1300,-61.32
1310,-59.58
1320,-57.90
1330,-56.29
1340,-54.75
1350,-53.26
1360,-51.83
1370,-50.46
1380,-49.14
1390,-47.87
1400,-46.65
1410,-45.47
1420,-44.34
1430,-43.24
1440,-42.19
1450,-41.17
1460,-40.19
1470,-39.24
1480,-38.32
